team_name,common_name,season,country,matches_played,matches_played_home,matches_played_away,suspended_matches,wins,wins_home,wins_away,draws,draws_home,draws_away,losses,losses_home,losses_away,points_per_game,points_per_game_home,points_per_game_away,league_position,league_position_home,league_position_away,performance_rank,goals_scored,goals_conceded,goal_difference,total_goal_count,total_goal_count_home,total_goal_count_away,goals_scored_home,goals_scored_away,goals_conceded_home,goals_conceded_away,goal_difference_home,goal_difference_away,minutes_per_goal_scored,minutes_per_goal_scored_home,minutes_per_goal_scored_away,minutes_per_goal_conceded,minutes_per_goal_conceded_home,minutes_per_goal_conceded_away,clean_sheets,clean_sheets_home,clean_sheets_away,btts_count,btts_count_home,btts_count_away,fts_count,fts_count_home,fts_count_away,first_team_to_score_count,first_team_to_score_count_home,first_team_to_score_count_away,corners_total,corners_total_home,corners_total_away,cards_total,cards_total_home,cards_total_away,average_possession,average_possession_home,average_possession_away,shots,shots_home,shots_away,shots_on_target,shots_on_target_home,shots_on_target_away,shots_off_target,shots_off_target_home,shots_off_target_away,fouls,fouls_home,fouls_away,goals_scored_half_time,goals_scored_half_time_home,goals_scored_half_time_away,goals_conceded_half_time,goals_conceded_half_time_home,goals_conceded_half_time_away,goal_difference_half_time,goal_difference_half_time_home,goal_difference_half_time_away,leading_at_half_time,leading_at_half_time_home,leading_at_half_time_away,draw_at_half_time,draw_at_half_time_home,draw_at_half_time_away,losing_at_half_time,losing_at_half_time_home,losing_at_half_time_away,points_per_game_half_time,points_per_game_half_time_home,points_per_game_half_time_away,average_total_goals_per_match,average_total_goals_per_match_home,average_total_goals_per_match_away,goals_scored_per_match,goals_scored_per_match_home,goals_scored_per_match_away,goals_conceded_per_match,goals_conceded_per_match_home,goals_conceded_per_match_away,win_percentage,win_percentage_home,win_percentage_away,home_advantage_percentage,corners_per_match,corners_per_match_home,corners_per_match_away,cards_per_match,cards_per_match_home,cards_per_match_away,xg_for_avg_overall,xg_for_avg_home,xg_for_avg_away,xg_against_avg_overall,xg_against_avg_home,xg_against_avg_away,prediction_risk,Current Club,goals_per_90_overall,assists_per_90_overall,average_rating_overall,clean_sheets_overall,goals_overall,assists_overall,appearances_overall,minutes_played_overall,yellow_cards_overall,red_cards_overall,tackles_per_90_overall,xg_per_90_overall,xa_per_90_overall,npxg_per_90_overall,interceptions_per_90_overall,distance_travelled_per_90_overall,aerial_duels_won_per_90_overall,shots_on_target_per_90_overall,shot_conversion_rate_overall,key_passes_per_90_overall,through_passes_per_90_overall,chances_created_per_90_overall,dribbles_per_90_overall,dribbles_successful_percentage_overall,passes_per_90_overall,pass_completion_rate_overall,full_name,age,position,league
FK Budućnost Podgorica,Budućnost,2023/2024,Montenegro,2,1,1,0,1,0,1,0,0,0,1,1,0,1.5,0.0,3.0,0,62,62,52,3,5,-2,8,5,3,0,3,5,0,-5,3,60,0,30,36,18,0,1,0,1,0,0,0,1,1,0,1,0,1,7,0,7,6,3,3,43,0,43,11,0,11,8,0,8,3,0,3,7,0,7,2,0,2,4,4,0,-2,-4,2,1,0,1,0,0,0,1,1,0,1.5,0.0,3.0,4.0,5.0,3.0,1.5,0.0,3.0,2.5,5.0,0.0,50,0,100,-100,7.0,0.0,7.0,3.0,3.0,3.0,0.54,0.0,1.34,0.48,0.0,1.48,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M-Perruquers Atlètic Club d'Escaldes,Atlètic Club d'Escaldes,2023/2024,Andorra,1,1,0,0,0,0,0,0,0,0,1,1,0,0.0,0.0,0.0,0,69,69,70,0,3,-3,3,3,0,0,0,3,0,-3,0,0,0,0,30,30,0,0,0,0,0,0,0,1,1,0,0,0,0,2,2,0,1,1,0,57,57,0,11,11,0,3,3,0,8,8,0,15,15,0,0,0,0,2,2,0,-2,-2,0,0,0,0,0,0,0,1,1,0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0,0,0,0,2.0,2.0,0.0,1.0,1.0,0.0,0.38,1.18,0.0,0.67,1.67,0.0,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FK Sheriff Tiraspol,Sheriff,2023/2024,Moldova,4,2,2,0,2,2,0,0,0,0,2,0,2,1.5,3.0,0.0,0,7,7,32,5,5,0,10,4,6,4,1,0,5,4,-4,72,45,180,72,0,36,2,2,0,1,0,1,1,0,1,3,2,1,29,13,16,15,4,11,40,45,36,35,6,29,17,6,11,18,0,18,54,22,32,3,2,1,1,0,1,2,2,0,2,2,0,2,0,2,0,0,0,2.0,3.0,1.0,2.5,2.0,3.0,1.25,2.0,0.5,1.25,0.0,2.5,50,100,0,80,7.25,6.5,8.0,3.75,2.0,5.5,1.33,1.03,1.64,1.37,0.63,2.11,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KF Partizani Tirana,Partizani Tirana,2023/2024,Albania,2,1,1,0,0,0,0,1,1,0,1,0,1,0.5,1.0,0.0,0,8,8,61,1,3,-2,4,2,2,1,0,1,2,0,-2,180,90,0,60,90,45,0,0,0,1,1,0,1,0,1,0,0,0,13,6,7,3,1,2,63,58,68,38,20,18,7,5,2,31,15,16,28,11,17,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,1.0,1.0,1.0,2.0,2.0,2.0,0.5,1.0,0.0,1.5,1.0,2.0,0,0,0,67,6.5,6.0,7.0,1.5,1.0,2.0,1.93,2.13,1.7,0.96,1.26,0.65,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The New Saints FC,The New Saints,2023/2024,Wales,2,1,1,0,0,0,0,0,0,0,2,1,1,0.0,0.0,0.0,0,10,10,72,1,5,-4,6,2,4,0,1,2,3,-2,-2,180,0,90,36,45,30,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,5,2,3,31,39,23,11,6,5,5,2,3,6,4,2,17,5,12,1,0,1,4,1,3,-3,-1,-2,0,0,0,0,0,0,2,1,1,0.0,0.0,0.0,3.0,2.0,4.0,0.5,0.0,1.0,2.5,2.0,3.0,0,0,0,-40,0.0,0.0,0.0,2.5,2.0,3.0,0.58,0.59,0.58,2.11,1.32,2.9,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Qarabağ Ağdam FK,Qarabağ,2023/2024,Azerbaijan,4,2,2,0,2,1,1,1,1,0,1,0,1,1.75,2.0,1.5,0,13,13,23,9,5,4,14,6,8,5,4,1,4,4,0,40,36,45,72,180,45,1,1,0,3,1,2,0,0,0,1,1,0,30,17,13,6,3,3,63,64,62,48,28,20,29,19,10,19,9,10,61,31,30,2,2,0,1,0,1,1,2,-1,1,1,0,2,1,1,1,0,1,1.25,2.0,0.5,3.5,3.0,4.0,2.25,2.5,2.0,1.25,0.5,2.0,50,50,50,36,7.5,8.5,6.5,1.5,1.5,1.5,2.17,2.56,1.78,0.91,0.68,1.14,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FK Astana,Astana,2023/2024,Kazakhstan,4,2,2,0,1,0,1,1,1,0,2,1,1,1.0,0.5,1.5,0,16,16,46,3,8,-5,11,4,7,1,2,3,5,-2,-3,120,180,90,45,60,36,0,0,0,2,1,1,2,1,1,1,1,0,22,14,8,3,2,1,44,50,38,49,30,19,18,10,8,31,20,11,41,23,18,1,1,0,5,1,4,-4,0,-4,1,1,0,0,0,0,3,1,2,0.75,1.5,0.0,2.75,2.0,3.5,0.75,0.5,1.0,2.0,1.5,2.5,25,0,50,-4,5.5,7.0,4.0,0.75,1.0,0.5,1.71,2.07,1.36,1.93,1.4,2.46,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VMFD Žalgiris Vilnius,Žalgiris,2023/2024,Lithuania,4,2,2,0,1,0,1,2,2,0,1,0,1,1.25,1.0,1.5,0,20,20,37,4,4,0,8,4,4,2,2,2,2,0,0,90,90,90,90,90,90,1,1,0,2,1,1,2,1,1,1,1,0,16,11,5,8,5,3,50,48,53,49,26,23,20,11,9,29,15,14,60,33,27,0,0,0,1,0,1,-1,0,-1,0,0,0,3,2,1,1,0,1,0.75,1.0,0.5,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,25,0,50,0,4.0,5.5,2.5,2.0,2.5,1.5,1.49,1.59,1.4,1.95,1.92,1.98,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FC BATE Borisov,BATE,2023/2024,Belarus,4,2,2,0,1,1,0,1,0,1,2,1,1,1.0,1.5,0.5,0,22,22,45,8,12,-4,20,10,10,5,3,5,7,0,-4,45,36,60,30,36,26,1,1,0,3,1,2,0,0,0,2,1,1,16,9,7,7,3,4,44,45,42,30,15,15,17,9,8,13,6,7,44,22,22,1,1,0,6,3,3,-5,-2,-3,0,0,0,2,1,1,2,1,1,0.5,0.5,0.5,5.0,5.0,5.0,2.0,2.5,1.5,3.0,2.5,3.5,25,50,0,21,4.0,4.5,3.5,1.75,1.5,2.0,0.99,1.04,0.94,2.08,1.89,2.27,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tallinna FC Flora,Tallinna FC Flora,2023/2024,Estonia,2,1,1,0,0,0,0,0,0,0,2,1,1,0.0,0.0,0.0,0,23,23,71,0,4,-4,4,3,1,0,0,3,1,-3,-1,0,0,0,45,30,90,0,0,0,0,0,0,2,1,1,0,0,0,6,3,3,3,1,2,34,35,32,15,13,2,5,5,0,10,8,2,13,8,5,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,1.0,1.0,1.0,2.0,3.0,1.0,0.0,0.0,0.0,2.0,3.0,1.0,0,0,0,-25,3.0,3.0,3.0,1.5,1.0,2.0,0.97,1.34,0.59,2.37,2.47,2.27,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
