name,season,status,format,number_of_clubs,total_matches,matches_completed,game_week,total_game_week,progress,average_goals_per_match,average_scored_home_team,average_scored_away_team,btts_percentage,clean_sheets_percentage,prediction_risk,home_scored_advantage_percentage,home_defence_advantage_percentage,home_advantage_percentage,average_corners_per_match,average_corners_per_match_home_team,average_corners_per_match_away_team,total_corners_for_season,average_cards_per_match,average_cards_per_match_home_team,average_cards_per_match_away_team,total_cards_for_season,over_05_percentage,over_15_percentage,over_25_percentage,over_35_percentage,over_45_percentage,over_55_percentage,under_05_percentage,under_15_percentage,under_25_percentage,under_35_percentage,under_45_percentage,under_55_percentage,over_65_corners_percentage,over_75_corners_percentage,over_85_corners_percentage,over_95_corners_percentage,over_105_corners_percentage,over_115_corners_percentage,over_125_corners_percentage,over_135_corners_percentage,over_05_cards_percentage,over_15_cards_percentage,over_25_cards_percentage,over_35_cards_percentage,over_45_cards_percentage,over_55_cards_percentage,over_65_cards_percentage,over_75_cards_percentage,goals_min_0_to_10,goals_min_11_to_20,goals_min_21_to_30,goals_min_31_to_40,goals_min_41_to_50,goals_min_51_to_60,goals_min_61_to_70,goals_min_71_to_80,goals_min_81_to_90,goals_min_0_to_15,goals_min_16_to_30,goals_min_31_to_45,goals_min_46_to_60,goals_min_61_to_75,goals_min_76_to_90,xg_avg_per_match
Serie A,2023/2024,In Progress,,20,380,236,25,38,62,2.58,1.47,1.12,51,56,64,31,24,28,9.5,5.31,4.18,2241,4.74,2.18,2.56,1119,92,74,50,26,11,5,8,26,50,74,89,95,81,69,57,51,40,27,19,13,99,96,86,72,50,33,18,10,47,60,60,49,74,72,68,57,123,77,90,98,97,95,153,2.67
Premiership,2023/2024,In Progress,,12,198,146,26,33,74,2.52,1.35,1.17,43,64,56,15,13,14,10.9,5.88,5.02,1592,4.21,2.05,2.15,614,92,71,48,27,10,3,8,28,52,73,90,97,89,83,72,64,54,41,32,23,97,92,79,64,41,22,12,4,27,34,35,28,31,45,40,47,81,39,57,50,54,65,103,2.73
Liga NOS,2023/2024,In Progress,,18,306,188,22,34,61,2.89,1.62,1.27,54,51,74,28,22,25,10.31,5.85,4.46,1938,5.61,2.73,2.88,1055,95,76,53,35,20,6,5,24,47,65,80,94,88,73,66,55,47,35,27,20,99,95,89,78,62,47,32,24,46,49,42,49,61,73,49,56,119,76,61,87,96,80,144,2.54
Ligue 1,2023/2024,In Progress,,18,306,189,22,34,62,2.52,1.44,1.08,50,61,56,33,25,29,9.34,5.08,4.26,1765,4.19,1.89,2.29,791,88,73,49,26,11,4,12,27,51,74,89,96,81,65,53,44,33,24,17,11,96,90,80,61,37,21,14,7,53,40,47,39,69,63,42,43,81,68,72,80,91,68,98,2.79
Bundesliga,2023/2024,In Progress,,18,306,189,22,34,62,3.15,1.84,1.31,60,45,83,40,28,34,9.72,5.59,4.13,1838,4.37,2.03,2.33,825,95,84,62,41,19,10,5,16,38,59,81,90,85,72,62,48,35,26,20,13,99,92,80,65,44,28,15,8,52,54,60,60,79,72,71,64,83,78,88,120,91,105,113,2.9
La Liga,2023/2024,In Progress,,20,380,240,25,38,63,2.64,1.45,1.19,52,57,67,22,18,20,9.46,5.34,4.12,2271,5.28,2.55,2.73,1266,91,72,45,26,16,9,9,28,55,74,84,91,83,76,63,44,33,24,15,11,98,95,88,72,57,44,28,17,57,56,60,50,87,72,76,56,119,84,89,113,96,103,148,2.72
Premier League,2023/2024,In Progress,,20,380,238,25,38,63,3.22,1.77,1.45,61,42,79,22,18,20,10.71,6.04,4.67,2548,4.76,2.22,2.53,1132,97,85,65,43,21,7,3,15,35,56,79,93,89,82,74,62,51,39,28,21,99,92,84,70,51,31,20,12,56,70,80,57,92,85,83,94,150,86,120,113,121,137,190,2.92
Pro League,2023/2024,In Progress,,16,240,200,26,30,83,2.84,1.61,1.23,56,49,68,31,24,28,10.03,5.44,4.6,2006,4.17,1.81,2.36,833,95,79,55,35,14,6,5,22,46,66,86,94,85,80,67,54,43,32,25,17,98,92,76,62,40,22,13,7,46,56,42,58,70,64,62,51,119,68,76,112,80,89,143,2.94
EFL League One,2023/2024,In Progress,,24,552,377,34,46,68,2.57,1.41,1.16,51,54,59,22,18,20,10.43,5.68,4.75,3932,4.63,2.14,2.48,1744,94,75,50,23,11,3,6,25,50,77,89,97,86,77,69,56,46,38,28,19,97,92,80,67,49,32,20,12,74,79,95,105,116,110,93,97,201,103,145,182,149,141,250,2.62
Championship,2023/2024,In Progress,,24,552,374,32,46,68,2.75,1.52,1.23,55,51,67,24,19,22,10.59,5.84,4.75,3960,4.37,1.98,2.39,1635,94,77,54,30,13,4,6,23,46,70,87,96,91,82,70,56,47,37,28,21,98,93,79,62,44,28,17,9,100,92,88,99,143,115,97,112,183,144,136,183,174,147,245,2.69
